,,,,# of objective function calls,,,# of iterations using after GP is built,,,speed-up ,,,,speed-up (iterations when GP is built),,,
(mu/mu,lambda,$\sigma^*$,F,linear,quadratic,cubic,linear(GP),quadratic(GP),cubic(GP),linear,quadratic,cubic,total ,linear,quadratic,cubic,total 
Baseline (Arash's), , ,,503,214,198,463,174,158,,,,,,,,
(3/3,10,1,3,296,164,179,266,134,149,1.70,1.30,1.11,4.11,1.74,1.30,1.06,4.10
(3/3,10,2,3,348,166,162,318,136,132,1.45,1.29,1.22,3.96,1.46,1.28,1.20,3.93
(3/3,10,4,3,220,745,866,190,715,836,2.29,0.29,0.23,2.80,2.44,0.24,0.19,2.87
(3/3,10,5,3,269,infty,infty,239,999999,999999,1.87,0.00,0.00,1.87,1.94,0.00,0.00,1.94
(3/3,10,1,4,305,180,196,265,140,156,1.65,1.19,1.01,3.85,1.75,1.24,1.01,4.00
(3/3,10,2,4,356,168,197,316,128,157,1.41,1.27,1.01,3.69,1.47,1.36,1.01,3.83
(3/3,10,4,4,1334,339,495,1294,299,455,0.38,0.63,0.40,1.41,0.36,0.58,0.35,1.29
(3/3,10,5,4,2626,infty,infty,2586,999999,999999,0.19,0.00,0.00,0.19,0.18,0.00,0.00,0.18
(9/9,30,1,3,297,207,205,207,117,115,1.69,1.03,0.97,3.69,2.24,1.49,1.37,5.10
(9/9,30,2,3,291,174,249,201,84,159,1.73,1.23,0.80,3.75,2.30,2.07,0.99,5.37
(9/9,30,4,3,390,187,359,300,97,269,1.29,1.14,0.55,2.99,1.54,1.79,0.59,3.92
(9/9,30,5,3,497,196,435,407,106,345,1.01,1.09,0.46,2.56,1.14,1.64,0.46,3.24
(9/9,30,1,4,327,235,226,207,115,106,1.54,0.91,0.88,3.32,2.24,1.51,1.49,5.24
(9/9,30,2,4,321,205,267,201,85,147,1.57,1.04,0.74,3.35,2.30,2.05,1.07,5.43
(9/9,30,4,4,421,217,508,301,97,388,1.19,0.99,0.39,2.57,1.54,1.79,0.41,3.74
(9/9,30,5,4,515,217,infty,395,97,999999,0.98,0.99,0.00,1.96,1.17,1.79,0.00,2.97
